"","V1","V2","V3","V4"
"1",0.00162232593746965,0.00120709132137704,1,1
"2",0.0076876828079298,0.00834763966192538,1,2
"3",0.0139920772237459,0.0141638425066997,1,3
"4",0.020186076461634,0.0205891156462585,1,4
"5",0.0281313148309822,0.0275144506287363,1,5
"6",0.0343622818946746,0.0337418264275407,1,6
"7",0.0405746972139042,0.0400661100803958,1,7
"8",0.0483725718300001,0.0477985363842506,1,8
"9",0.0546220908879954,0.0539289631003916,1,9
"10",0.0607792915666807,0.0605572871572871,1,10
"11",0.0670288444779963,0.0666887445887446,1,11
"12",0.0748451354252736,0.074320140177283,1,12
"13",0.0810392021199624,0.0807475159760874,1,13
"14",0.0873254521554396,0.0866728097299526,1,14
"15",0.0951418449125181,0.0943072562358276,1,15
"16",0.101520311642424,0.0997315811172954,1,16
"17",0.107677477843189,0.106358977530406,1,17
"18",0.115678304488805,0.112991403834261,1,18
"19",0.121872405286654,0.119419769119769,1,19
"20",0.128121788681528,0.125546114203257,1,20
"21",0.13457388638316,0.130565367965368,1,21
"22",0.142426874079839,0.137990661719233,1,22
"23",0.14863942518711,0.144319006390435,1,23
"24",0.154944057200769,0.150142321170893,1,24
"25",0.162834318652335,0.157378787878788,1,25
"26",0.168936371897437,0.164313296227582,1,26
"27",0.175370426903611,0.169444712430427,1,27
"28",0.239938927485838,0.23701746031746,1,28
"29",0.31865358811717,0.316496062667491,1,29
"30",0.476969975677576,0.474341929499072,1,30
"31",0.673114133458933,0.66842195423624,1,31
"32",0.818541090410701,0.815116594516595,1,32
"33",0.921294401065558,0.922594949494949,1,33
"34",0.984442620945546,0.984328282828283,1,34
"35",1,1,1,35
"36",1,1,1,36
"37",1,1,1,37
"38",1,1,1,38
"39",1,1,1,39
"40",1,1,1,40
"41",1,1,1,41
"42",1,1,1,42
"43",1,1,1,43
"44",1,1,1,44
"45",1,1,1,45
"46",1,1,1,46
"47",1,1,1,47
"48",1,1,1,48
"49",1,1,1,49
"50",1,1,1,50
"51",1,1,1,51
"52",1,1,1,52
"53",1,1,1,53
"54",1,1,1,54
"55",1,1,1,55
"56",1,1,1,56
"57",1,1,1,57
"58",1,1,1,58
"59",1,1,1,59
"60",1,1,1,60
"61",1,1,1,61
"62",1,1,1,62
"63",1,1,1,63
"64",1,1,1,64
"65",1,1,1,65
"66",1,1,1,66
"67",1,1,1,67
"68",1,1,1,68
"69",1,1,1,69
"70",1,1,1,70
"71",1,1,1,71
"72",1,1,1,72
"73",1,1,1,73
"74",1,1,1,74
"75",1,1,1,75
"76",1,1,1,76
"77",1,1,1,77
"78",1,1,1,78
"79",1,1,1,79
"80",1,1,1,80
"81",1,1,1,81
"82",1,1,1,82
"83",1,1,1,83
"84",1,1,1,84
"85",1,1,1,85
"86",1,1,1,86
"87",1,1,1,87
"88",1,1,1,88
"89",1,1,1,89
"90",1,1,1,90
"91",1,1,1,91
"92",1,1,1,92
"93",1,1,1,93
"94",1,1,1,94
"95",1,1,1,95
"96",1,1,1,96
"97",1,1,1,97
"98",1,1,1,98
"99",1,1,1,99
"100",1,1,1,100
"101",1,1,1,101
"102",1,1,1,102
"103",1,1,1,103
"104",1,1,1,104
"105",1,1,1,105
"106",1,1,1,106
"107",1,1,1,107
"108",1,1,1,108
"109",1,1,1,109
"110",1,1,1,110
"111",1,1,1,111
"112",1,1,1,112
"113",1,1,1,113
"114",1,1,1,114
"115",1,1,1,115
"116",1,1,1,116
"117",1,1,1,117
"118",1,1,1,118
"119",1,1,1,119
"120",1,1,1,120
"121",1,1,1,121
"122",1,1,1,122
"123",1,1,1,123
"124",1,1,1,124
"125",1,1,1,125
"126",1,1,1,126
"127",1,1,1,127
"128",1,1,1,128
"129",1,1,1,129
"130",1,1,1,130
"131",1,1,1,131
"132",1,1,1,132
"133",1,1,1,133
"134",1,1,1,134
"135",1,1,1,135
"136",1,1,1,136
"137",1,1,1,137
"138",1,1,1,138
"139",1,1,1,139
"140",1,1,1,140
"141",1,1,1,141
"142",1,1,1,142
"143",1,1,1,143
"144",1,1,1,144
"145",1,1,1,145
"146",1,1,1,146
"147",1,1,1,147
"148",1,1,1,148
"149",1,1,1,149
"150",1,1,1,150
"151",1,1,1,151
"152",1,1,1,152
"153",1,1,1,153
"154",1,1,1,154
"155",1,1,1,155
"156",1,1,1,156
"157",1,1,1,157
"158",1,1,1,158
"159",1,1,1,159
"160",1,1,1,160
"161",1,1,1,161
"162",1,1,1,162
"163",1,1,1,163
"164",1,1,1,164
"165",1,1,1,165
"166",1,1,1,166
"167",1,1,1,167
"168",1,1,1,168
"169",1,1,1,169
"170",1,1,1,170
"171",1,1,1,171
"172",1,1,1,172
"173",1,1,1,173
"174",1,1,1,174
"175",1,1,1,175
"176",1,1,1,176
"177",1,1,1,177
"178",1,1,1,178
"179",1,1,1,179
"180",1,1,1,180
"181",1,1,1,181
"182",1,1,1,182
"183",1,1,1,183
"184",1,1,1,184
"185",1,1,1,185
"186",1,1,1,186
"187",1,1,1,187
"188",1,1,1,188
"189",1,1,1,189
"190",1,1,1,190
"191",1,1,1,191
"192",1,1,1,192
