"","V1","V2","V3","V4"
"1",0.000910328729819101,0.00784745762711865,1,1
"2",0.00461498718335776,0.0385621468926553,1,2
"3",0.00829460711395717,0.0694548022598869,1,3
"4",0.0121012884419328,0.0990197740112994,1,4
"5",0.0171054983782986,0.133409604519774,1,5
"6",0.0209243793659704,0.162621468926554,1,6
"7",0.0248730802025255,0.190502824858757,1,7
"8",0.0301072987238395,0.222214689265537,1,8
"9",0.0341448894642299,0.248920903954802,1,9
"10",0.0383097983681345,0.274299435028249,1,10
"11",0.042194923127371,0.302183615819209,1,11
"12",0.0472155446213808,0.335429378531074,1,12
"13",0.0510869848716563,0.363305084745763,1,13
"14",0.0550915073946125,0.38969209039548,1,14
"15",0.0605185639784585,0.418248587570621,1,15
"16",0.0645775729026268,0.44378813559322,1,16
"17",0.0688836822190314,0.466494350282486,1,17
"18",0.0738266287973705,0.499225988700565,1,18
"19",0.0780850876111416,0.521932203389831,1,19
"20",0.082053378353446,0.547649717514124,1,20
"21",0.0864981385582027,0.568019774011299,1,21
"22",0.0918876534346628,0.594906779661017,1,22
"23",0.0961412408643398,0.616779661016949,1,23
"24",0.10052983581633,0.637155367231638,1,24
"25",0.105851187872987,0.664045197740113,1,25
"26",0.109834625807468,0.688101694915254,1,26
"27",0.114320187080133,0.706816384180791,1,27
"28",0.119363792857264,0.735706214689265,1,28
"29",0.132078548567138,0.761943502824859,1,29
"30",0.145071965409714,0.783305084745763,1,30
"31",0.149057252449429,0.804844632768361,1,31
"32",0.188632790878402,0.837389830508474,1,32
"33",0.252832541606065,0.864121468926554,1,33
"34",0.342130638925097,0.891666666666667,1,34
"35",0.448284374636374,0.920717514124294,1,35
"36",0.569484194784996,0.943754237288136,1,36
"37",0.697709169902189,0.96430790960452,1,37
"38",0.766182641283732,0.975813559322034,1,38
"39",0.875631453811955,0.987666666666667,1,39
"40",0.942300874778734,0.9945,1,40
"41",0.959000859892507,0.996666666666667,1,41
"42",0.983672839506173,0.999333333333333,1,42
"43",1,1,1,43
"44",1,1,1,44
"45",1,1,1,45
"46",1,1,1,46
"47",1,1,1,47
"48",1,1,1,48
"49",1,1,1,49
"50",1,1,1,50
"51",1,1,1,51
"52",1,1,1,52
"53",1,1,1,53
"54",1,1,1,54
"55",1,1,1,55
"56",1,1,1,56
"57",1,1,1,57
"58",1,1,1,58
"59",1,1,1,59
"60",1,1,1,60
"61",1,1,1,61
"62",1,1,1,62
"63",1,1,1,63
"64",1,1,1,64
"65",1,1,1,65
"66",1,1,1,66
"67",1,1,1,67
"68",1,1,1,68
"69",1,1,1,69
"70",1,1,1,70
"71",1,1,1,71
"72",1,1,1,72
"73",1,1,1,73
"74",1,1,1,74
"75",1,1,1,75
"76",1,1,1,76
"77",1,1,1,77
"78",1,1,1,78
"79",1,1,1,79
"80",1,1,1,80
"81",1,1,1,81
"82",1,1,1,82
"83",1,1,1,83
"84",1,1,1,84
"85",1,1,1,85
"86",1,1,1,86
"87",1,1,1,87
"88",1,1,1,88
"89",1,1,1,89
"90",1,1,1,90
"91",1,1,1,91
"92",1,1,1,92
"93",1,1,1,93
"94",1,1,1,94
"95",1,1,1,95
"96",1,1,1,96
"97",1,1,1,97
"98",1,1,1,98
"99",1,1,1,99
"100",1,1,1,100
"101",1,1,1,101
"102",1,1,1,102
"103",1,1,1,103
"104",1,1,1,104
"105",1,1,1,105
"106",1,1,1,106
"107",1,1,1,107
"108",1,1,1,108
"109",1,1,1,109
"110",1,1,1,110
"111",1,1,1,111
"112",1,1,1,112
"113",1,1,1,113
"114",1,1,1,114
"115",1,1,1,115
"116",1,1,1,116
"117",1,1,1,117
"118",1,1,1,118
"119",1,1,1,119
"120",1,1,1,120
"121",1,1,1,121
"122",1,1,1,122
"123",1,1,1,123
"124",1,1,1,124
"125",1,1,1,125
"126",1,1,1,126
"127",1,1,1,127
"128",1,1,1,128
"129",1,1,1,129
"130",1,1,1,130
"131",1,1,1,131
"132",1,1,1,132
"133",1,1,1,133
"134",1,1,1,134
"135",1,1,1,135
"136",1,1,1,136
"137",1,1,1,137
"138",1,1,1,138
"139",1,1,1,139
"140",1,1,1,140
"141",1,1,1,141
"142",1,1,1,142
"143",1,1,1,143
"144",1,1,1,144
"145",1,1,1,145
"146",1,1,1,146
"147",1,1,1,147
"148",1,1,1,148
"149",1,1,1,149
"150",1,1,1,150
"151",1,1,1,151
"152",1,1,1,152
"153",1,1,1,153
"154",1,1,1,154
"155",1,1,1,155
"156",1,1,1,156
"157",1,1,1,157
"158",1,1,1,158
"159",1,1,1,159
"160",1,1,1,160
"161",1,1,1,161
"162",1,1,1,162
"163",1,1,1,163
"164",1,1,1,164
"165",1,1,1,165
"166",1,1,1,166
"167",1,1,1,167
"168",1,1,1,168
"169",1,1,1,169
"170",1,1,1,170
"171",1,1,1,171
"172",1,1,1,172
"173",1,1,1,173
"174",1,1,1,174
"175",1,1,1,175
"176",1,1,1,176
"177",1,1,1,177
"178",1,1,1,178
"179",1,1,1,179
"180",1,1,1,180
"181",1,1,1,181
"182",1,1,1,182
"183",1,1,1,183
"184",1,1,1,184
"185",1,1,1,185
"186",1,1,1,186
"187",1,1,1,187
"188",1,1,1,188
"189",1,1,1,189
"190",1,1,1,190
"191",1,1,1,191
"192",1,1,1,192
"193",1,1,1,193
"194",1,1,1,194
"195",1,1,1,195
"196",1,1,1,196
"197",1,1,1,197
"198",1,1,1,198
"199",1,1,1,199
"200",1,1,1,200
"201",0.000893087655390709,0.0080144216473387,2,1
"202",0.00507799299413385,0.0340489146595302,2,2
"203",0.00927101985525909,0.0599308652988403,2,3
"204",0.0134031039257702,0.0863071662206363,2,4
"205",0.0184075138178775,0.12071766280107,2,5
