"","V1","V2","V3"
"1",0.0015112540192926,0.00302631578947368,"Baseline (EN Max)"
"2",0.00766870706518093,0.0115263157894737,"Baseline (EN Max)"
"3",0.0137779285998152,0.0215263157894737,"Baseline (EN Max)"
"4",0.0200800761794656,0.0255263157894737,"Baseline (EN Max)"
"5",0.0279577606540286,0.0305263157894737,"Baseline (EN Max)"
"6",0.0341955995520069,0.0365263157894737,"Baseline (EN Max)"
"7",0.0404012841091492,0.0435263157894737,"Baseline (EN Max)"
"8",0.0672661068473779,0.0690263157894737,"Baseline (EN Max)"
"9",0.130368897513845,0.123526315789474,"Baseline (EN Max)"
"10",0.220578778135048,0.2155,"Baseline (EN Max)"
"11",0.440434083601286,0.4325,"Baseline (EN Max)"
"12",0.777877813504823,0.78,"Baseline (EN Max)"
"13",0.880546623794212,0.88,"Baseline (EN Max)"
"14",0.981768488745981,0.981,"Baseline (EN Max)"
"15",0.99096463022508,0.9905,"Baseline (EN Max)"
"16",0.991028938906752,0.9905,"Baseline (EN Max)"
"17",0.991093247588424,0.9905,"Baseline (EN Max)"
"18",1,1,"Baseline (EN Max)"
"19",1,1,"Baseline (EN Max)"
"20",1,1,"Baseline (EN Max)"
"21",1,1,"Baseline (EN Max)"
"22",1,1,"Baseline (EN Max)"
"23",1,1,"Baseline (EN Max)"
"24",1,1,"Baseline (EN Max)"
"25",1,1,"Baseline (EN Max)"
"26",1,1,"Baseline (EN Max)"
"27",1,1,"Baseline (EN Max)"
"28",1,1,"Baseline (EN Max)"
"29",1,1,"Baseline (EN Max)"
"30",1,1,"Baseline (EN Max)"
"31",1,1,"Baseline (EN Max)"
"32",1,1,"Baseline (EN Max)"
"33",1,1,"Baseline (EN Max)"
"34",1,1,"Baseline (EN Max)"
"35",1,1,"Baseline (EN Max)"
"36",1,1,"Baseline (EN Max)"
"37",1,1,"Baseline (EN Max)"
"38",1,1,"Baseline (EN Max)"
"39",1,1,"Baseline (EN Max)"
"40",1,1,"Baseline (EN Max)"
"41",1,1,"Baseline (EN Max)"
"42",1,1,"Baseline (EN Max)"
"43",1,1,"Baseline (EN Max)"
"44",1,1,"Baseline (EN Max)"
"45",1,1,"Baseline (EN Max)"
"46",1,1,"Baseline (EN Max)"
"47",1,1,"Baseline (EN Max)"
"48",1,1,"Baseline (EN Max)"
"49",1,1,"Baseline (EN Max)"
"50",1,1,"Baseline (EN Max)"
"51",1,1,"Baseline (EN Max)"
"52",1,1,"Baseline (EN Max)"
"53",1,1,"Baseline (EN Max)"
"54",1,1,"Baseline (EN Max)"
"55",1,1,"Baseline (EN Max)"
"56",1,1,"Baseline (EN Max)"
"57",1,1,"Baseline (EN Max)"
"58",1,1,"Baseline (EN Max)"
"59",1,1,"Baseline (EN Max)"
"60",1,1,"Baseline (EN Max)"
"61",1,1,"Baseline (EN Max)"
"62",1,1,"Baseline (EN Max)"
"63",1,1,"Baseline (EN Max)"
"64",1,1,"Baseline (EN Max)"
"65",1,1,"Baseline (EN Max)"
"66",1,1,"Baseline (EN Max)"
"67",1,1,"Baseline (EN Max)"
"68",1,1,"Baseline (EN Max)"
"69",1,1,"Baseline (EN Max)"
"70",1,1,"Baseline (EN Max)"
"71",1,1,"Baseline (EN Max)"
"72",1,1,"Baseline (EN Max)"
"73",1,1,"Baseline (EN Max)"
"74",1,1,"Baseline (EN Max)"
"75",1,1,"Baseline (EN Max)"
"76",1,1,"Baseline (EN Max)"
"77",1,1,"Baseline (EN Max)"
"78",1,1,"Baseline (EN Max)"
"79",1,1,"Baseline (EN Max)"
"80",1,1,"Baseline (EN Max)"
"81",1,1,"Baseline (EN Max)"
"82",1,1,"Baseline (EN Max)"
"83",1,1,"Baseline (EN Max)"
"84",1,1,"Baseline (EN Max)"
"85",1,1,"Baseline (EN Max)"
"86",1,1,"Baseline (EN Max)"
"87",1,1,"Baseline (EN Max)"
"88",1,1,"Baseline (EN Max)"
"89",1,1,"Baseline (EN Max)"
"90",1,1,"Baseline (EN Max)"
"91",1,1,"Baseline (EN Max)"
"92",1,1,"Baseline (EN Max)"
"93",1,1,"Baseline (EN Max)"
"94",1,1,"Baseline (EN Max)"
"95",1,1,"Baseline (EN Max)"
"96",1,1,"Baseline (EN Max)"
"97",1,1,"Baseline (EN Max)"
"98",1,1,"Baseline (EN Max)"
"99",1,1,"Baseline (EN Max)"
