"V1","V2","V3"
0.00161435400493949,0.00100847457627119,"Baseline (EN Max)"
0.007538976616977,0.0101949152542373,"Baseline (EN Max)"
0.0137042669448816,0.0170593220338983,"Baseline (EN Max)"
0.0198867394033704,0.0237570621468926,"Baseline (EN Max)"
0.0277351122585512,0.0309632768361582,"Baseline (EN Max)"
0.0340205890847789,0.0366525423728813,"Baseline (EN Max)"
0.0403405185879412,0.0420169491525424,"Baseline (EN Max)"
0.0481716208967716,0.0493813559322034,"Baseline (EN Max)"
0.0542852469452352,0.0567344632768361,"Baseline (EN Max)"
0.0604505667450619,0.0636016949152542,"Baseline (EN Max)"
0.0665128232333056,0.0714717514124293,"Baseline (EN Max)"
0.074326802355396,0.0790084745762711,"Baseline (EN Max)"
0.0805780033362215,0.0850395480225988,"Baseline (EN Max)"
0.0867604757947103,0.0917372881355932,"Baseline (EN Max)"
0.0944199041573092,0.100782485875706,"Baseline (EN Max)"
0.100808503238964,0.105474576271186,"Baseline (EN Max)"
0.10712834432636,0.110830508474576,"Baseline (EN Max)"
0.115131297412955,0.116531073446328,"Baseline (EN Max)"
0.121330804642417,0.12304802259887,"Baseline (EN Max)"
0.145056350315055,0.146257062146893,"Baseline (EN Max)"
0.19435114616305,0.196771186440678,"Baseline (EN Max)"
0.339575368546386,0.334915254237288,"Baseline (EN Max)"
0.480660937325011,0.476389830508475,"Baseline (EN Max)"
0.704365528461035,0.700152542372881,"Baseline (EN Max)"
0.824370126080883,0.820590395480226,"Baseline (EN Max)"
0.950340665947552,0.947686440677966,"Baseline (EN Max)"
0.975360824742268,0.974,"Baseline (EN Max)"
0.991907216494845,0.991,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
