shapes: 25 , num_cones: 25 , dirpercone: 5 , ec_curve: 25 , time: 61.070051, std_dev: 1.481651 
shapes: 25 , num_cones: 25 , dirpercone: 5 , ec_curve: 50 , time: 106.245010, std_dev: 4.274206 
shapes: 25 , num_cones: 25 , dirpercone: 10 , ec_curve: 25 , time: 138.922002, std_dev: 2.112875 
shapes: 25 , num_cones: 25 , dirpercone: 10 , ec_curve: 50 , time: 294.108404, std_dev: 1.738404 
shapes: 25 , num_cones: 50 , dirpercone: 5 , ec_curve: 25 , time: 137.926316, std_dev: 2.428091 
shapes: 25 , num_cones: 50 , dirpercone: 5 , ec_curve: 50 , time: 294.145987, std_dev: 3.206037 
shapes: 25 , num_cones: 50 , dirpercone: 10 , ec_curve: 25 , time: 354.877646, std_dev: 3.540824 
shapes: 25 , num_cones: 50 , dirpercone: 10 , ec_curve: 50 , time: 965.466930, std_dev: 9.754713 
shapes: 25 , num_cones: 75 , dirpercone: 5 , ec_curve: 25 , time: 237.931315, std_dev: 5.049119 
shapes: 25 , num_cones: 75 , dirpercone: 5 , ec_curve: 50 , time: 580.358921, std_dev: 8.813316 
shapes: 25 , num_cones: 75 , dirpercone: 10 , ec_curve: 25 , time: 683.052921, std_dev: 8.720113 
shapes: 50 , num_cones: 25 , dirpercone: 5 , ec_curve: 25 , time: 120.973879, std_dev: 0.724682 
shapes: 50 , num_cones: 25 , dirpercone: 5 , ec_curve: 50 , time: 251.801544, std_dev: 1.921088 
shapes: 50 , num_cones: 25 , dirpercone: 10 , ec_curve: 25 , time: 312.304668, std_dev: 1.534605 
shapes: 50 , num_cones: 25 , dirpercone: 10 , ec_curve: 50 , time: 773.014055, std_dev: 6.143220 
shapes: 50 , num_cones: 50 , dirpercone: 5 , ec_curve: 25 , time: 306.340694, std_dev: 1.521683 
shapes: 50 , num_cones: 50 , dirpercone: 5 , ec_curve: 50 , time: 783.167677, std_dev: 7.060734 
shapes: 50 , num_cones: 50 , dirpercone: 10 , ec_curve: 25 , time: 890.505633, std_dev: 9.487191 
shapes: 50 , num_cones: 50 , dirpercone: 10 , ec_curve: 50 , time: 2894.307553, std_dev: 34.678815 
shapes: 50 , num_cones: 75 , dirpercone: 5 , ec_curve: 25 , time: 560.770361, std_dev: 3.538887 
shapes: 50 , num_cones: 75 , dirpercone: 5 , ec_curve: 50 , time: 1639.205103, std_dev: 16.045925 
shapes: 50 , num_cones: 75 , dirpercone: 10 , ec_curve: 25 , time: 1831.221172, std_dev: 14.285806 
shapes: 75 , num_cones: 25 , dirpercone: 5 , ec_curve: 25 , time: 196.135951, std_dev: 1.416168 
shapes: 75 , num_cones: 25 , dirpercone: 5 , ec_curve: 50 , time: 438.040785, std_dev: 1.745981 
shapes: 75 , num_cones: 25 , dirpercone: 10 , ec_curve: 25 , time: 528.244833, std_dev: 1.668344 
shapes: 75 , num_cones: 50 , dirpercone: 5 , ec_curve: 25 , time: 533.659045, std_dev: 1.947257 
shapes: 75 , num_cones: 25 , dirpercone: 10 , ec_curve: 50 , time: 1521.870823, std_dev: 3.176342 
shapes: 75 , num_cones: 50 , dirpercone: 5 , ec_curve: 50 , time: 1549.924848, std_dev: 7.540425 
shapes: 75 , num_cones: 50 , dirpercone: 10 , ec_curve: 25 , time: 1668.766612, std_dev: 5.787147 
shapes: 75 , num_cones: 75 , dirpercone: 5 , ec_curve: 25 , time: 1017.334388, std_dev: 3.250085 
shapes: 75 , num_cones: 75 , dirpercone: 5 , ec_curve: 50 , time: 3449.410021, std_dev: 9.774652 
shapes: 75 , num_cones: 75 , dirpercone: 10 , ec_curve: 25 , time: 3675.094018, std_dev: 17.908820 
shapes: 75 , num_cones: 50 , dirpercone: 10 , ec_curve: 50 , time: 6683.440490, std_dev: 33.716662 
